epoch,loss
1,3.988438111696488
2,3.3325945401803043
3,3.155624312009567
4,3.0539698771941355
5,2.981768621542515
6,2.9272494597312733
7,2.88686720591325
8,2.850767737779862
9,2.814410116733649
10,2.7902078439027833
11,2.7640427503830347
12,2.7390897335150304
13,2.716130088537167
14,2.697725538107065
15,2.683622268530039
16,2.6648309762661273
17,2.646164200244806
18,2.6356842511739487
19,2.6173408172069452
20,2.6059410737111017
21,2.594492832208291
22,2.5847741512151865
23,2.5748712631372306
24,2.5616546826484874
25,2.5513283093770345
26,2.5460693603906877
27,2.532571703959734
28,2.520099821457496
29,2.5124804619031074
30,2.5103492804062673
31,2.5012804709948027
32,2.4945080696008146
33,2.4871662421104235
34,2.480923287685101
35,2.4733077947910016
36,2.468356841038435
37,2.4634961855717195
38,2.4587496323463243
39,2.458239513177138
40,2.449235897797805
41,2.4448841694073797
42,2.4468192577362062
43,2.441328943692721
44,2.4386366783044275
45,2.4393962707275
46,2.438822433887384
47,2.43649182564173
48,2.4318173750852927
